X	Y	V_x	V_y
-2.56251	-0.54545	20.16733	-17.93218
-2.56049	-0.54724	20.16747	-17.93215
-2.55847	-0.54904	20.16761	-17.93212
-2.55646	-0.55083	20.16775	-17.93208
-2.55444	-0.55262	20.16788	-17.93205
-2.55242	-0.55442	20.16802	-17.93202
-2.55041	-0.55621	20.16816	-17.93199
-2.54839	-0.55800	20.16830	-17.93196
-2.54637	-0.55980	20.16843	-17.93193
-2.54436	-0.56159	20.16857	-17.93190
-2.54234	-0.56338	20.16871	-17.93187
-2.54032	-0.56517	20.16885	-17.93184
-2.53830	-0.56697	20.16898	-17.93180
-2.53629	-0.56876	20.16912	-17.93177
-2.53427	-0.57055	20.16926	-17.93174
-2.53225	-0.57235	20.16940	-17.93171
-2.53024	-0.57414	20.16953	-17.93168
-2.52822	-0.57593	20.16967	-17.93164
-2.52620	-0.57773	20.16981	-17.93161
-2.52419	-0.57952	20.16995	-17.93158
-2.52217	-0.58131	20.17008	-17.93154
-2.52015	-0.58311	20.17022	-17.93151
-2.51813	-0.58490	20.17036	-17.93148
-2.51612	-0.58669	20.17049	-17.93145
-2.51410	-0.58849	20.17063	-17.93141
-2.51208	-0.59028	20.17077	-17.93138
-2.51007	-0.59207	20.17091	-17.93135
-2.50805	-0.59387	20.17104	-17.93131
-2.50603	-0.59566	20.17118	-17.93128
-2.50402	-0.59745	20.17132	-17.93124
-2.50200	-0.59924	20.17145	-17.93121
-2.49998	-0.60104	20.17159	-17.93117
-2.49796	-0.60283	20.17173	-17.93114
-2.49595	-0.60462	20.17186	-17.93111
-2.49393	-0.60642	20.17200	-17.93107
-2.49191	-0.60821	20.17214	-17.93104
-2.48990	-0.61000	20.17227	-17.93100
-2.48788	-0.61180	20.17241	-17.93097
-2.48586	-0.61359	20.17255	-17.93093
-2.48384	-0.61538	20.17268	-17.93090
-2.48183	-0.61718	20.17282	-17.93086
-2.47981	-0.61897	20.17296	-17.93082
-2.47779	-0.62076	20.17309	-17.93079
-2.47577	-0.62256	20.17323	-17.93075
-2.47376	-0.62435	20.17337	-17.93072
-2.47174	-0.62614	20.17350	-17.93068
-2.46972	-0.62793	20.17364	-17.93064
-2.46770	-0.62973	20.17378	-17.93061
-2.46569	-0.63152	20.17391	-17.93057
-2.46367	-0.63331	20.17405	-17.93053
-2.46165	-0.63511	20.17419	-17.93050
-2.45964	-0.63690	20.17432	-17.93046
-2.45762	-0.63869	20.17446	-17.93042
-2.45560	-0.64049	20.17459	-17.93038
-2.45358	-0.64228	20.17473	-17.93035
-2.45157	-0.64407	20.17487	-17.93031
-2.44955	-0.64586	20.17500	-17.93027
-2.44753	-0.64766	20.17514	-17.93023
-2.44551	-0.64945	20.17528	-17.93019
-2.44350	-0.65124	20.17541	-17.93016
-2.44148	-0.65304	20.17555	-17.93012
-2.43946	-0.65483	20.17568	-17.93008
-2.43744	-0.65662	20.17582	-17.93004
-2.43543	-0.65842	20.17596	-17.93000
-2.43341	-0.66021	20.17609	-17.92996
-2.43139	-0.66200	20.17623	-17.92992
-2.42937	-0.66379	20.17636	-17.92988
-2.42735	-0.66559	20.17650	-17.92984
-2.42534	-0.66738	20.17664	-17.92980
-2.42332	-0.66917	20.17677	-17.92976
-2.42130	-0.67097	20.17691	-17.92972
-2.41928	-0.67276	20.17704	-17.92968
-2.41727	-0.67455	20.17718	-17.92964
-2.41525	-0.67635	20.17731	-17.92960
-2.41323	-0.67814	20.17745	-17.92956
-2.41121	-0.67993	20.17759	-17.92952
-2.40920	-0.68172	20.17772	-17.92948
-2.40718	-0.68352	20.17786	-17.92944
-2.40516	-0.68531	20.17799	-17.92940
-2.40314	-0.68710	20.17813	-17.92935
-2.40112	-0.68890	20.17826	-17.92931
-2.39911	-0.69069	20.17840	-17.92927
-2.39709	-0.69248	20.17854	-17.92923
-2.39507	-0.69428	20.17867	-17.92919
-2.39305	-0.69607	20.17881	-17.92914
-2.39103	-0.69786	20.17894	-17.92910
-2.38902	-0.69965	20.17908	-17.92906
-2.38700	-0.70145	20.17921	-17.92902
-2.38498	-0.70324	20.17935	-17.92897
-2.38296	-0.70503	20.17948	-17.92893
-2.38095	-0.70683	20.17962	-17.92889
-2.37893	-0.70862	20.17976	-17.92884
-2.37691	-0.71041	20.17989	-17.92880
-2.37489	-0.71220	20.18003	-17.92876
-2.37287	-0.71400	20.18016	-17.92871
-2.37086	-0.71579	20.18030	-17.92867
-2.36884	-0.71758	20.18043	-17.92862
-2.36682	-0.71938	20.18057	-17.92858
-2.36480	-0.72117	20.18070	-17.92853
-2.36278	-0.72296	20.18084	-17.92849
-2.36076	-0.72475	20.18097	-17.92844
-2.35875	-0.72655	20.18111	-17.92840
-2.35673	-0.72834	20.18124	-17.92835
-2.35471	-0.73013	20.18138	-17.92831
-2.35269	-0.73193	20.18151	-17.92826
-2.35067	-0.73372	20.18165	-17.92822
-2.34866	-0.73551	20.18178	-17.92817
-2.34664	-0.73730	20.18192	-17.92812
-2.34462	-0.73910	20.18205	-17.92808
-2.34260	-0.74089	20.18219	-17.92803
-2.34058	-0.74268	20.18232	-17.92798
-2.33857	-0.74448	20.18246	-17.92794
-2.33655	-0.74627	20.18259	-17.92789
-2.33453	-0.74806	20.18273	-17.92784
-2.33251	-0.74985	20.18286	-17.92779
-2.33049	-0.75165	20.18300	-17.92775
-2.32847	-0.75344	20.18313	-17.92770
-2.32646	-0.75523	20.18326	-17.92765
-2.32444	-0.75702	20.18340	-17.92760
-2.32242	-0.75882	20.18353	-17.92755
-2.32040	-0.76061	20.18367	-17.92751
-2.31838	-0.76240	20.18380	-17.92746
-2.31636	-0.76420	20.18394	-17.92741
-2.31435	-0.76599	20.18407	-17.92736
-2.31233	-0.76778	20.18421	-17.92731
-2.31031	-0.76957	20.18434	-17.92726
-2.30829	-0.77137	20.18448	-17.92721
-2.30627	-0.77316	20.18461	-17.92716
-2.30425	-0.77495	20.18474	-17.92711
-2.30223	-0.77674	20.18488	-17.92706
-2.30022	-0.77854	20.18501	-17.92701
-2.29820	-0.78033	20.18515	-17.92696
-2.29618	-0.78212	20.18528	-17.92691
-2.29416	-0.78392	20.18541	-17.92686
-2.29214	-0.78571	20.18555	-17.92681
-2.29012	-0.78750	20.18568	-17.92676
-2.28810	-0.78929	20.18582	-17.92670
-2.28609	-0.79109	20.18595	-17.92665
-2.28407	-0.79288	20.18608	-17.92660
-2.28205	-0.79467	20.18622	-17.92655
-2.28003	-0.79646	20.18635	-17.92650
-2.27801	-0.79826	20.18649	-17.92644
-2.27599	-0.80005	20.18662	-17.92639
-2.27397	-0.80184	20.18675	-17.92634
-2.27196	-0.80363	20.18689	-17.92629
-2.26994	-0.80543	20.18702	-17.92623
-2.26792	-0.80722	20.18715	-17.92618
